Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
"09/09/2022 06:45",4053.5,4054,4053.25,4053.25,-0.5,-0.01%,202,N/A
"09/09/2022 06:44",4053.75,4054.25,4052.75,4053.75,0,0.00%,276,N/A
"09/09/2022 06:43",4053.75,4054.25,4053.5,4053.75,0,0.00%,199,N/A
"09/09/2022 06:42",4053.25,4053.75,4053,4053.75,0.5,+0.01%,128,N/A
"09/09/2022 06:41",4052.75,4053.25,4052.5,4053.25,0.5,+0.01%,138,N/A
"09/09/2022 06:40",4053.5,4053.75,4052.5,4052.75,-1,-0.02%,185,N/A
"09/09/2022 06:39",4054.25,4054.25,4053.5,4053.75,-0.25,-0.01%,123,N/A
"09/09/2022 06:38",4053.25,4054.25,4053.25,4054,1,+0.02%,393,N/A
"09/09/2022 06:37",4053,4053.5,4052.75,4053,-0.25,-0.01%,215,N/A
"09/09/2022 06:36",4053.25,4054,4053.25,4053.25,0,0.00%,393,N/A
"09/09/2022 06:35",4051.5,4053.5,4051.5,4053.25,1.75,+0.04%,282,N/A
"09/09/2022 06:34",4052,4052.5,4051,4051.5,-0.75,-0.02%,301,N/A
"09/09/2022 06:33",4052,4052.75,4051.5,4052.25,0.25,+0.01%,205,N/A
"09/09/2022 06:32",4053,4053.25,4052,4052,-0.75,-0.02%,290,N/A
"09/09/2022 06:31",4053.75,4053.75,4052.25,4052.75,-1,-0.02%,185,N/A
"09/09/2022 06:30",4054.5,4054.5,4053.75,4053.75,-0.75,-0.02%,135,N/A
"09/09/2022 06:29",4054.75,4055,4054.5,4054.5,-0.25,-0.01%,84,N/A
"09/09/2022 06:28",4054.5,4054.75,4054.25,4054.75,0,0.00%,184,N/A
"09/09/2022 06:27",4054.25,4055.25,4054,4054.75,0.5,+0.01%,322,N/A
"09/09/2022 06:26",4053.75,4055,4053.75,4054.25,0.75,+0.02%,251,N/A
"09/09/2022 06:25",4053.75,4054,4053,4053.5,-0.25,-0.01%,207,N/A
"09/09/2022 06:24",4054.5,4054.75,4053.75,4053.75,-0.75,-0.02%,176,N/A
"09/09/2022 06:23",4054.5,4054.5,4053.75,4054.5,0.25,+0.01%,117,N/A
"09/09/2022 06:22",4055.5,4055.75,4054.25,4054.25,-1.25,-0.03%,250,N/A
"09/09/2022 06:21",4055.75,4055.75,4055.5,4055.5,-0.5,-0.01%,82,N/A
"09/09/2022 06:20",4056,4056,4055.25,4056,0.25,+0.01%,96,N/A
"09/09/2022 06:19",4055,4055.75,4055,4055.75,0.5,+0.01%,144,N/A
"09/09/2022 06:18",4055.75,4055.75,4055,4055.25,-0.75,-0.02%,225,N/A
"09/09/2022 06:17",4057.25,4057.5,4056,4056,-1.25,-0.03%,252,N/A
"09/09/2022 06:16",4056.5,4057.25,4056.5,4057.25,0.75,+0.02%,71,N/A
"09/09/2022 06:15",4056.5,4057,4056,4056.5,0.25,+0.01%,169,N/A
"09/09/2022 06:14",4056.25,4056.5,4056.25,4056.25,0,0.00%,61,N/A
"09/09/2022 06:13",4056,4056.5,4055.75,4056.25,0.5,+0.01%,130,N/A
"09/09/2022 06:12",4055,4056,4054.75,4055.75,0.75,+0.02%,150,N/A
"09/09/2022 06:11",4055.75,4056,4054.75,4055,-0.75,-0.02%,200,N/A
"09/09/2022 06:10",4057,4057.25,4055.5,4055.75,-1,-0.02%,145,N/A
"09/09/2022 06:09",4057,4057.25,4056.75,4056.75,0,0.00%,69,N/A
"09/09/2022 06:08",4057.25,4057.5,4056.75,4056.75,-0.5,-0.01%,151,N/A
"09/09/2022 06:07",4057.25,4057.25,4056.25,4057.25,0,0.00%,161,N/A
"09/09/2022 06:06",4056.75,4057.25,4056.75,4057.25,0.5,+0.01%,117,N/A
"09/09/2022 06:05",4056.25,4056.75,4055.75,4056.75,0.75,+0.02%,110,N/A
"09/09/2022 06:04",4055.75,4056,4055.25,4056,0.5,+0.01%,232,N/A
"09/09/2022 06:03",4055.5,4056,4054.75,4055.5,-0.25,-0.01%,367,N/A
"09/09/2022 06:02",4055.75,4056,4055.5,4055.75,0.25,+0.01%,221,N/A
"09/09/2022 06:01",4056.5,4056.75,4055.5,4055.5,-1.25,-0.03%,430,N/A
"09/09/2022 06:00",4058,4058.25,4056.75,4056.75,-1.25,-0.03%,265,N/A
"09/09/2022 05:59",4058.75,4059,4057.75,4058,-0.75,-0.02%,172,N/A
"09/09/2022 05:58",4058.25,4059,4057.75,4058.75,0.75,+0.02%,114,N/A
"09/09/2022 05:57",4058,4058.5,4057.75,4058,0,0.00%,176,N/A
"09/09/2022 05:56",4059.5,4059.5,4058,4058,-1.5,-0.04%,204,N/A
"09/09/2022 05:55",4059,4059.5,4058.5,4059.5,0.5,+0.01%,227,N/A
"09/09/2022 05:54",4059.25,4059.25,4059,4059,-0.5,-0.01%,49,N/A
"09/09/2022 05:53",4059.25,4059.75,4059,4059.5,0.25,+0.01%,103,N/A
"09/09/2022 05:52",4060.5,4060.5,4059,4059.25,-1.25,-0.03%,205,N/A
